"name","category","description"
"No Strings Attached Combo - Veg","Flavours Of Love Combos (Save Rs 122)","Save Rs. 122 | 2 Masala Whopper Veg + 2 Med Fries + 2 Medium Soft Drink (Cola)"
"Premium Family Feast for 4 - Veg","Family Feast for 4 ( Save upto 37%)","Save Rs. 200 | Veg Whopper + Paneer Royale + Crispy Veg + BK Veggie + 2 Med Fries + 1 Dip + Peri Peri Sachet + Medium Soft Drink (Cola) + Chocolate Thick Shake"
"Premium Family Feast for 4 - Chicken","Family Feast for 4 ( Save upto 37%)","Save Rs. 200 | Chicken Whopper + Fiery Chicken + Crispy Chicken + Chicken Crunchy Taco + 2 Med Fries + 1 Dip + Peri Peri Sachet + Medium Soft Drink (Cola) + Chocolate Thick Shake"
"Classic Family Feast for 4 - Veg","Family Feast for 4 ( Save upto 37%)","Save Rs. 200 | 2 Crispy Veg + BK Veggie + Veg Crunchy Taco + 2 Med Fries + 2 Dips + Medium Soft Drink (Cola) + Chocolate Thick Shake"
"Classic Family Feast for 4 - Chicken","Family Feast for 4 ( Save upto 37%)","Save Rs. 200 | 2 Crispy Chicken + BK Chicken + Chicken Crunchy Taco + 2 Med Fries + 2 Dips + Medium Soft Drink (Cola) + Chocolate Thick Shake"
"Whopper Duo - Veg","Super Saver Combos (Save upto Rs 90)","MRP 772. Save Rs 90 | 2 Veg Whopper + 1 King Fries + 1 Chocolate Shake + 1 Medium Soft Drink (Cola)"
"Whopper Duo - Non Veg","Super Saver Combos (Save upto Rs 90)","MRP 812. Save Rs 90 | 2 Chicken Whopper + 1 King Fries  + 1 Chocolate Shake  + 1 Medium Soft Drink (Cola)"
"Paneer Royale Burger + Hot 'N' Saucy Burger + 1 Med Fries","Super Saver Combos (Save upto Rs 90)","MRP 533. Save Rs 95! With this Limited Time Offer"
"Hot 'N' Saucy Duo - Veg","Super Saver Combos (Save upto Rs 90)","MRP 718. Save Rs 90 | 2 Hot 'N' Saucy + 1 King Fries + 2 Medium Soft Drink (Cola)"
"Fiery Duo - Non Veg","Super Saver Combos (Save upto Rs 90)","MRP 718. Save Rs 90 | 2 FieryChicken + 1 King Fries + 2 Medium Soft Drink (Cola)"
"Binging Duo - Veg","Super Saver Combos (Save upto Rs 90)","MRP 706. Save Rs 90 | 2Crispy Veg Double Patty+1King Fries+2Chocolate Shake"
"Binging Duo - Non  Veg","Super Saver Combos (Save upto Rs 90)","MRP 766. Save Rs 90 | 2Crispy Chicken Double Patty+1King Fries+2Chocolate Shake"
"Indulgent Duo - Veg","Super Saver Combos (Save upto Rs 90)","MRP 718. Save Rs 90 | 2 Paneer Royale + 1 King Fries + 2 Medium Soft Drink (Cola)"
"Indulgent Duo - Non Veg","Super Saver Combos (Save upto Rs 90)","MRP 718. Save Rs 90 | 2 Chicken Tandoor Grill + 1 King Fries + 2 Medium Soft Drink (Cola)"
"2 Hot 'N' Saucy Burger + 1 Med Fries","Super Saver Combos (Save upto Rs 90)","MRP 533. Save Rs 95! With this Limited Time Offer"
"2 Fiery Chicken Burger + 1 Med Fries","Super Saver Combos (Save upto Rs 90)","MRP 533. Save Rs 95! With this Limited Time Offer"
"2 Paneer Royale Burger + 1 Med Fries","Super Saver Combos (Save upto Rs 90)","MRP 533. Save Rs 95! With this Limited Time Offer"
"2 Chicken Tandoori Burger + 1 Med Fries","Super Saver Combos (Save upto Rs 90)","MRP 533. Save Rs 95! With this Limited Time Offer"
"Mutton Whopper","Whopper","Our signature Whopper with 7 layers between the buns. Flame-Grilled mutton patty, fresh onions, crispy lettuce, juicy tomatoes (seasonal), tangy gherkins, creamy and smoky sauces with new glazed buns. Swaad Aisa, India Jaisa."
"Veg Whopper","Whopper","Our signature Whopper with 7 layers between the buns. Extra crunchy veg patty, fresh onions, crispy lettuce, juicy tomatoes (seasonal), tangy gherkins, creamy and smoky sauces with new premium buns. Swaad Aisa, India Jaisa."
"Veg Whopper with Cheese Slice","Whopper","Our Signature Whopper With 7 Layers Between The Buns. Extra Crunchy Veg Patty With Cheese Slice, Fresh Onion, Crispy Lettuce, Juicy Tomatoes(seasonal), Tangy Gherkins, Creamy And Smoky Sauces With Xxl Buns. It?S Not A Burger, It?S A Whopper"
"Chicken Whopper","Whopper","Our signature Whopper with 7 layers between the buns. Flame-Grilled chicken patty, fresh onions, crispy lettuce, juicy tomatoes (seasonal), tangy gherkins, creamy and smoky sauces with new premium glazed buns. Swaad Aisa, India Jaisa."
"Mutton Whopper Double Patty","Whopper","Two Much Mutton As Delicious Flame-Grilled Patties, Farm-Fresh Veggies And Mayo Is What Makes This Mutton Double Whopper A Feast For The Beast"
"Veg Whopper Double Patty","Whopper","Our Signature Whopper With 7 Layers Between The Buns. Extra Crunchy Veg Double Patty, Fresh Onion, Crispy Lettuce, Juicy Tomatoes(seasonal), Tangy Gherkins, Creamy And Smoky Sauces With Xxl Buns. It?S Not A Burger, It?S A Whopper"
"Chicken Whopper with Cheese Slice","Whopper","Our Signature Whopper With 7 Layers Between The Buns. Flame Grilled Chicken Patty With Cheese Slice, Fresh Onion, Crispy Lettuce, Juicy Tomatoes(seasonal), Tangy Gherkins, Creamy And Smoky Sauces With Xxl Buns. It?S Not A Burger, It?S A Whopper"
"Chicken Whopper Double Patty","Whopper","Our Signature Whopper With 7 Layers Between The Buns. Flame Grilled Chicken Double Patty, Fresh Onion, Crispy Lettuce, Juicy Tomatoes(seasonal), Tangy Gherkins, Creamy And Smoky Sauces With Xxl Buns. It?S Not A Burger, It?S A Whopper"
"Crispy Veg Burger","Burgers & Wraps","Our Best-Selling Burger With Crispy Veg Patty, Fresh Onion And Our Signature Sauce"
"Chicken Makhani Burst Burger","Burgers & Wraps","Enjoy Rich Makhani Flavour With Crispy Chicken Patty Topped With Fresh Onion"
"Crispy Veg Double Patty Burger","Burgers & Wraps","Our Best-Selling Burger With Crispy Veg Double Patty, Fresh Onion And Our Signature Sauce"
"BK-Veggie Double Patty Burger","Burgers & Wraps","Our tribute to classic American taste. BK veg double patty, garden fresh crispy lettuce, juicy tomato (seasonal) & our signature sauce"
"Veg Crunchy Taco","Burgers & Wraps","Crunchy Shell with mix veg filling, crunchy veggies and spicy sauce"
"Veg Makhani Burst Burger","Burgers & Wraps","Enjoy Rich Makhani Flavour With Mix Veg Patty Topped Up With Fresh Onion"
"Crispy Chicken Burger","Burgers & Wraps","Our Best-Selling Burger With Crispy Chicken Patty, Onion And Classic Mayo Sauce"
"Crispy Veg Double Patty with Cheese Slice","Burgers & Wraps","Our Best-Selling Burger With Crispy Veg Double Patty, Cheese Slice, Fresh Onion And Our Signature Sauce"
"Crispy Veg with Cheese Slice","Burgers & Wraps","Our Best-Selling Burger Withcrispy Veg Patty, Cheese Slice, Fresh Onion And Our Signature Sauce"
"Crunchy Chicken Taco","Burgers & Wraps","Crunchy Shell with chicken patty, crunchy veggies and spicy sauce"
"Crispy Chicken with Cheese Slice","Burgers & Wraps","Our Best-Selling Burger With Crispy Chicken Patty, Cheese Slice, Onion And Classic Mayo Sauce"
"Whopper Jr Veg","Burgers & Wraps","Our Signature Whopper With 7 Layers Between The Buns In A Convenient Size. Extra Crunchy Veg Patty, Fresh Onion, Crispy Lettuce, Juicy Tomatoes(seasonal), Tangy Gherkins, Creamy And Smoky Sauces"
"Whopper Jr Chicken","Burgers & Wraps","Our Signature Whopper With 7 Layers Between The Buns In A Convenient Size. Flame Grilled Chicken Patty, Fresh Onion, Crispy Lettuce, Juicy Tomatoes(seasonal), Tangy Gherkins, Creamy And Smoky Sauces"
"Crispy Chicken Double Patty Burger","Burgers & Wraps","Our Best-Selling Burger With Crispy Chicken Double Patty, Onion And Classic Mayo Sauce"
"Crispy Chicken Double Patty with Cheese Slice","Burgers & Wraps","Our Best-Selling Burger With Crispy Chicken Double Patty, Cheese Slice, Onion And Classic Mayo Sauce."
"BK Veggie Burger","Burgers & Wraps","Our Tribute To Classic American Taste. Bk Veg Patty, Garden Fresh Crispy Lettuce, Juicy Tomato(seasonal) & Our Signature Sauce"
"BK Chicken Burger","Burgers & Wraps","Our tribute to classic American taste. The new BK Chicken now has 50%* More Chicken. Enjoy this burger in a Crunchy Chicken patty, garden fresh crispy lettuce, juicy tomato(seasonal) & our signature sauce."
"Hot 'N' Saucy Burger","Kings Premium Burgers","Chilli Saucy patty, spicy sauce, soft square masala buns. It's saucy & spicy."
"Paneer Royale Burger","Kings Premium Burgers","Thick Paneer Patty, loads of sauces in soft square masala buns. It's Royally Paneer."
"Fiery Chicken Burger","Kings Premium Burgers","Spicy Fried Chicken, loads of sauces in soft square masala buns. It's hot and happening."
"Chicken Tandoori Burger","Kings Premium Burgers","Desiness Alert! Flame grilled Tandoori Chicken, mint sauce with fresh onions."
"Crispy Veg Double Patty + Crispy Veg Double Patty","Burger Doubles.","Two Crispy Veg Double Patty"
"Veg Makhani Burst + Whopper Jr Veg","Burger Doubles.","Veg Makhani Burst + Lite Whopper Jr Veg"
"Chicken Whopper + Chicken Whopper","Burger Doubles.",
"BK Veggie Burger + BK Veggie Burger","Burger Doubles.","BK Veggie Burger and BK Veggie Burger"
"Crispy Chicken Double Patty + Crispy Chicken Double Patty","Burger Doubles.","Two Crispy Chicken Double Patty"
"Chicken Makhani Burst + Whopper Jr Chicken","Burger Doubles.","Chicken Makhani Burst + Lite Whopper Jr Chicken"
"BK Chicken Burger + BK Chicken Burger","Burger Doubles.","Two BK Chicken Burger"
"Veg Whopper + Veg Whopper","Burger Doubles.","Two Veg Whopper"
"2 Crispy Veg","Burger Doubles.",
"Crispy Veg Combo","Meal Combos(Save Rs. 45)","Save Rs 45 | Our best-selling burger with crispy veg patty, fresh onion and our signature sauce. Comes with Fries (M) + Medium Soft Drink (Cola)"
"Crispy Chicken Combo","Meal Combos(Save Rs. 45)","Save Rs 45 | Our best-selling burger with crispy chicken patty, onion and classic mayo sauce. Comes with Fries (M) + Medium Soft Drink (Cola)"
"Whopper Jr Veg Combo","Meal Combos(Save Rs. 45)","Save Rs 45 | Our signature Whopper with 7 layers between the buns in a convenient size. Extra crunchy veg Patty, fresh onion, crispy lettuce, juicy tomatoes (seasonal), tangy gherkins, creamy and smoky sauces. Comes with Fries (M) + Medium Soft Drink (Cola)"
"Whopper Jr Chicken Combo","Meal Combos(Save Rs. 45)","Save Rs 45 | Our signature Whopper with 7 layers between the buns in a convenient size. Flame Grilled chicken Patty, fresh onion, crispy lettuce, juicy tomatoes, tangy gherkins, creamy and smoky sauces. Comes with Fries (M) + Medium Soft Drink (Cola)"
"Veg Whopper Combo","Meal Combos(Save Rs. 45)","Save Rs 45 | Our signature Whopper with 7 layers between the buns. Extra crunchy veg Patty, fresh onion, crispy lettuce, juicy tomatoes (seasonal), tangy gherkins, creamy and smoky sauces with xxl buns. It?s Not A Burger, it?s a Whopper. Comes with Fries (M) + Medium Soft Drink (Cola)"
"Chicken Whopper Combo","Meal Combos(Save Rs. 45)","Save Rs 45 | Our signature Whopper with 7 layers between the buns. Flame Grilled chicken Patty, fresh onion, crispy lettuce, juicy tomatoes (seasonal), tangy gherkins, creamy and smoky sauces with xxl buns. It?s Not A Burger, it?s a Whopper. Comes with Fries (M) + Medium Soft Drink (Cola)"
"Hot 'N' Saucy Burger Combo","Meal Combos(Save Rs. 45)","Save Rs 45 | Chilli Saucy patty, spicy sauce, soft square masala buns. It's saucy & spicy. Comes with Fries (M) + Medium Soft Drink (Cola)"
"Fiery Chicken Burger Combo","Meal Combos(Save Rs. 45)","Save Rs 45 | Spicy Fried Chicken, loads of sauces in soft square masala buns. It's hot and happening. Comes with Fries (M) + Medium Soft Drink (Cola)"
"Paneer Royale Burger Combo","Meal Combos(Save Rs. 45)","Save Rs 45 | Thick Paneer Patty, loads of sauces in soft square masala buns. It's Royally Paneer. Comes with Fries (M) + Medium Soft Drink (Cola)"
"Chicken Tandoori Burger Combo","Meal Combos(Save Rs. 45)","Save Rs 45 | Desiness Alert! Flame grilled Tandoori Chicken, mint sauce with fresh onions. Comes with Fries (M) + Medium Soft Drink (Cola)"
"Mutton Whopper - Combo","Meal Combos(Save Rs. 45)","Save Rs 45 | Spicy, Saucy & Desi Masala Whopper for a limited time. Comes with Fries (M) + Medium Soft Drink (Cola)"
"(4Pc) Crunchy Chicken Nuggets","Sides","Tender Juicy Crunchy Chicken Nuggets fried to golden brown perfection"
"(6Pc) Crunchy Chicken Nuggets + 1 Dip","Sides","Tender Juicy Crunchy Chicken Nuggets fried to golden brown perfection. Served with Fiery Hell Dip"
"(9Pc) Crunchy Chicken Nuggets + 2 Dips","Sides","Tender Juicy Crunchy Chicken Nuggets fried to golden brown perfection. Served with Fiery Hell Dip"
"(18Pcs) Crunchy Chicken Nuggets + 3 Dips","Sides","Tender Juicy Crunchy Chicken Nuggets fried to golden brown perfection. Served with Fiery Hell Dip"
"Fiery Hell Dip","Sides","Chef's Special Spicy Sauce"
"Hashbrown","Sides","What Every Potato Wants To Be"
"Peri Peri Spice Mix","Sides",
"Veggie Strips(5 Pcs)","Sides","Vegetarian's Favourite Finger Food"
"Medium Fries","Sides","The Perfect Crispy Partner"
"King Fries","Sides","The Perfect Crispy Partner"
"Medium Peri Peri Fries","Sides","Crispy Fries With Peri Peri Spice. Hot Indeed"
"King Peri Peri Fries","Sides","Crispy Fries With Peri Peri Spice. Hot Indeed"
"Peri Peri Fries","Sides","Crispy fries with peri peri spice. Hot indeed."
"Medium Soft Drink (Cola)","Beverages",
"Chocolate Thick Shake","Beverages","Our Signature Chocolate Thick Shake"
"Mango Thick Shake","Beverages","Our Signature Mango Thick Shake"
"Berry Blast Thick Shake","Beverages","Rich Creamy Black Currant Thick shake"
"Medium Soft Drink (Diet Cola)","Beverages",
"Choco Lava Cup","Desserts","Melty Chocolate filled in cupcake"
"Chocolate Mousse Cup","Desserts","Airy and creamy chocolate mousse topped with chocolate ganache and choco chips"
"Chicken Wings Fried - Two Pieces","Chicken Wings.","Juicy chicken wings cooked to perfection."
"Chicken Wings Fried - Four Pieces","Chicken Wings.","Juicy chicken wings cooked to perfection."
"Chicken Wings Fried - Ten Pieces","Chicken Wings.","Juicy chicken wings cooked to perfection."
"Chicken Wings Fried - Fifteen Pieces","Chicken Wings.","Juicy chicken wings cooked to perfection."
"Boneless Wings Regular","Chicken Wings.","4pcs Boneless Chicken Bites"
"Boneless Wings Large","Chicken Wings.","7pcs Boneless Chicken Bites"
